id, map, map_generator, success, total_distance, start_time, end_time
1600618649.14, medium, ground_truth, True,47.8738685491,1600618649.14,1600618756.4
1600618793.82, medium, openvslam, True,49.7145859019,1600618793.82,1600618905.55
1600618968.76, medium, openvslam, True,49.3330827068,1600618968.76,1600619080.05
1600619138.08, medium, openvslam, True, 49.1989564666, 1600619138.08, 1600619248.97
1600619333.51, medium, ground_truth, True, 47.8432159761, 1600619333.51, 1600619441.14
1600619481.93, medium, openvslam, True, 49.575753106, 1600619481.93, 1600619594.37
1600620116.69, easy, ground_truth, True, 45.2279276346, 1600620116.69, 1600620216.24
1600620250.06, easy, ground_truth, True, 45.3345373872, 1600620250.06, 1600620350.94
1600620616.96, easy, openvslam, True, 45.2447079095, 1600620616.96, 1600620717.92
1600620774.4, easy, openvslam, True, 45.953674826, 1600620774.4, 1600620875.77
1600620908.04, easy, openvslam, True, 45.3016563908, 1600620908.04, 1600621007.9
1600621066.46, easy, ground_truth, True, 45.5085609786, 1600621066.46, 1600621167.46
1600625053.89, hard, ground_truth, False, 22.483675126, 1600625053.89, 0.0
1600635802.17, medium, openvslam, True, 49.109788668, 1600635802.17, 1600635913.87
1600635976.35, medium, openvslam, True, 49.36406215, 1600635976.35, 1600636086.66
1600636301.18, easy, openvslam, True, 45.4445297185, 1600636301.18, 1600636402.13
1600636479.27, easy, ground_truth, True, 45.3361585422, 1600636479.27, 1600636580.13
1600636639.81, easy, ground_truth, True, 45.0279060573, 1600636639.81, 1600636740.26
1600636793.57, medium, ground_truth, True, 47.85778606, 1600636793.57, 1600636900.45
1600636946.12, medium, openvslam, True, 49.1573800144, 1600636946.12, 1600637058.65
1600637088.99, medium, openvslam, True, 49.3271540255, 1600637088.99, 1600637201.1
1600637382.56, medium, openvslam, True, 49.4045856882, 1600637382.56, 1600637494.8
1600637550.59, medium, openvslam, True, 49.629914735, 1600637550.59, 1600637663.16
1600637707.68, easy, openvslam, True, 45.2263701575, 1600637707.68, 1600637808.9
